"formula"	"mz"	"C"	"H"	"O"	"N"	"P"	"S"	"Na"
"C26H26O8"	466.16277	26	26	8				
"C27H28O12"	544.15808	27	28	12				
"C23H22O7"	410.13655	23	22	7				
"C18H18O13"	442.07474	18	18	13				
"C23H22O13"	506.10604	23	22	13				
"C20H26O9"	410.15768	20	26	9				
"C16H10O13"	410.01214	16	10	13				
"C17H18O10"	382.09	17	18	10				
"C24H22O8"	438.13147	24	22	8				
"C18H18O11"	410.08491	18	18	11				
"C19H22O7"	362.13655	19	22	7				
"C17H22O10"	386.1213	17	22	10				
"C23H24O8"	428.14712	23	24	8				
"C27H24O12"	540.12678	27	24	12				
"C30H18O18"	666.04931	30	18	18				
"C24H32O11"	496.19446	24	32	32				
"C16H16O8"	336.08452	16	16	8				
"C21H26O8"	406.16277	21	26	8				
"C17H14O8"	346.06887	17	14	8				
"C16H14O6"	302.07904	16	14	6				
"C15H14O5"	274.08412	15	14	5				
"C16H14O7"	318.07395	16	14	7				
"C17H18O7"	334.10525	17	18	7				
"C24H24O7"	424.1522	24	24	7				
"C23H12O10"	448.04305	23	12	10				
"C24H14O8"	430.06887	24	14	8				
"C26H12O12"	516.03288	26	12	12				
"C26H14O9"	470.06378	26	14	9				
"C27H34O7"	470.23045	27	34	7				
"C28H38O6"	470.26684	28	38	6				
"C29H42O5"	470.30322	29	42	5				
"C20H20O4"	348.15863	20	20	4				
"C24H22O12N8"	614.13572	24	22	12	8			
"C23H24O8N2"	456.15327	23	24	8	2			
"C29H36N4"	440.294	29	36		4			
"C31H44O4N4"	536.33626	31	44	4	4			
"C24H30O3N4"	422.23179	24	30	3	4			
"C40H52O6N4"	684.38869	40	52	6	4			
"C30H40O8N4"	584.28461	30	40	8	4			
"C19H26O3N6"	386.20664	19	26	3	6			
"C25H40O8N4"	524.28461	25	40	8	4			
"C23H28O4N4"	424.21106	23	28	4	4			
"C28H38O3N6"	506.30054	28	38	3	6			
"C23H26O3N4"	406.20049	23	26	3	4			
"C35H62O4"	546.46481	35	52	4				
"C35H60O2"	512.45933	35	60	2				
"C42H58O6"	658.42334	42	58	6				
"C41H77O8N1"	711.56492	41	77	8	1			
"C12H21O6N3"	303.14304	12	21	6	3			
"C11H19O7N3"	305.1223	11	19	7	3			
"C21H41O6N7"	487.31183	21	41	6	7			
"C19H33O10N7"	519.22889	19	33	10	7			
"C17H29O7N5"	415.2067	17	29	7	5			
"C11H21O4N3"	259.15321	11	21	4	3			
"C9H17O4N3"	231.12191	9	17	4	3			
"C13H22O8N4"	362.14376	13	22	8	4			
"C15H28O7N4"	376.1958	15	28	7	4			
"C16H27O10N5"	449.17579	16	27	10	5			
"C20H33O10N5"	503.22274	20	33	10	5			
"C19H32O11N2"	464.20061	19	32	11	2			
"C17H31O7N5"	417.22235	17	31	7	5			
"C16H28O11N2"	424.16931	16	28	11	2			
"C29H49O21N1"	747.27971	29	49	21	1			
"C12H22O11"	342.11621	12	22	11				
"C14H23O12N1"	397.12203	14	23	12	1			
"C11H20O10"	312.10565	11	20	10				
"C17H30O15"	474.15847	17	30	15				
"C12H22O10"	326.1213	12	22	10				
"C18H32O15"	488.17412	18	32	15				
"C18H32O16"	504.16903	18	32	16				
"C12H22O9"	310.12638	12	22	9				
"C18H32O14"	472.17921	18	32	14				
"C10H18O9"	282.09508	10	18	9				
"C16H28O14"	444.14791	16	28	14				
"C28H31O9N3"	553.20603	28	31	9	3			
"C34H74O20N10"	942.50808	34	74	20	10			
"C40H67O16N9"	929.47058	40	67	16	9			
"C27H50O8N4"	558.36286	27	50	8	4			
"C34H50O11N6"	718.35376	34	50	11	6			
"C23H32O2"	340.24023	23	32	2				
"C43H80O10"	756.57515	43	80	10				
"C49H89O15"	917.62015	49	89	15				
"C35H32O5N4"	588.23727	35	32	5	4			
"C27H46O1"	386.35487	27	46	1				
"C37H70O1"	530.54267	37	70	1				
"C92H182O11"	1463.36822	92	182	11				
"C16H36N4"	284.294	16	36		4			
"C20H43N5"	353.35185	20	43		5			
"C28H57N7"	491.46754	28	57		7			
"C12H18O7N2"	302.1114	12	18	7	2			
"C13H20O8N2"	332.12197	13	20	8	2			
"C15H24O7N2"	344.15835	15	24	7	2			
"C9H10O8"	246.03757	9	10	8				
"C10H6O8"	254.00627	10	6	8				
"C16H18O9"	354.09508	16	18	9				
"C34H56O6"	560.40769	34	56	6				
"C24H48O3"	384.36035	24	57	3				
"C18H34O6"	346.23554	18	34	6				
"C22H42O4"	370.30831	22	42	4				
"C18H36O2"	284.27153	18	36	2				
"C18H26O12"	434.14243	18	26	12				
"C21H30O14"	506.16356	21	30	14				
"C15H22O10"	362.1213	15	22	10				
"C24H50"	338.39125	24	50					
"C10H14O7N5P1"	347.06308	10	14	7	5	1		
"C18H30O13N6P1Na1"	592.15061	18	30	13	6	1		1
"C21H23O8N6P1"	518.1315	21	23	8	6	1		
"C12H16O5N7P1"	369.09505	12	16	5	7	1		
"C10H14O13N5P3"	504.9801	10	14	13	5	3		
"C40H80O8N1P1"	733.56216	40	80	8	1	1		
"C22H33O8N7P1Na1"	577.20259	22	33	8	7	1		1
"C9H19O11P1"	334.0665	9	19	11		1		
"C8H17O12N1P2"	381.0226	8	17	12	1	2		
"C21H32O16N7P3S1"	763.08391	21	32	16	7	3	1	
"C10H17O6N3S1"	307.08381	10	17	6	3		1	
"C16H29O7N5S2"	467.15084	16	29	7	5		2	
"C26H42O6N6S1"	566.28865	26	42	6	6		1	
"C28H28O18N3S3"	790.053	28	28	18	3		3	
"C40H76O10P1"	747.51761	40	76	10		1		
"C39H76O8N1P1"	717.53086	39	76	8	1	1		
"C42H82O8N1P1"	759.57781	42	82	8	1	1		
"C43H79O12S1"	819.52922	43	79	12			1	
"C18H24O12N8P2"	606.09889	18	24	12	8	2		
"C19H22O16N7P2"	666.05983	19	22	16	7	2		
"C10H17O6N3S1"	307.08381	10	17	6	3		1	
"C37H74S1"	550.55112	37	74				1	
"C48H82O42S1"	1362.40014	48	82	42			1	
"C15H27O16P1"	494.10367	15	27	16		1		
"C14H6O8S2"	365.95041	14	6	8			2	
